Cogn Sci w/Specializ Neurosci,CG29,COGS 1,COGS 10 or DSGN 1,COGS 100,COGS 101A or 101B or 101C,COGS 101A or 101B or 101C,COGS 107A,COGS 107B,COGS 108,COGS 13,COGS 14A,COGS 14B,COGS 17,COGS 18 or CSE (6R or 8A or 11) or BILD 62,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,Math 10A or 20A,Math 10B or 20B,Math 10C if choosing Math 10 series,Math 18,UD ELECTIVE,,,,,,,,,,,,,,,,,,,
Cogn Sci w/Spec Clin Asp Cogn,CG31,COGS 1,COGS 10 or DSGN 1,COGS 100,COGS 101A or 101B or 101C,COGS 101A or 101B or 101C,COGS 107A,COGS 107B,COGS 108,COGS 13,COGS 14A,COGS 14B,COGS 17,COGS 18 or CSE (6R or 8A or 11) or BILD 62,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,MATH 10A or 20A,MATH 10B or 20B,MATH 10C if choosing the 10 series,MATH 18,UD ELECTIVE,,,,,,,,,,,,,,,,,,,
Cogn & Behavioral Neuroscience,CG32,1 Computer Programming,1 Natural Science,1 Natural Science,Additional Elective,Additional Elective,CBN CORE,CBN CORE,CBN CORE,CBN Elective,CBN Elective,CBN Elective,CBN Elective,CBN Elective,CBN Elective,CBN Research,CBN Research,COGS 107A,COGS 14A or PSYC 70,COGS 14B or PSYC 60,COGS 17,MATH 10A or 20A,MATH 10B or 20B,MATH 10C or 20C,,,,,,,,,,,,,,,,,,,,
Cogn Sci w/Spec Design & Inter,CG33,COGS 1,COGS 10 or DSGN 1,COGS 100,COGS 101A or 101B or 101C,COGS 101A or 101B or 101C,COGS 107A,COGS 107B,COGS 108,COGS 13,COGS 14A,COGS 14B,COGS 17,COGS 18 or CSE (6R or 8A or 11) BILD 62,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,MATH 10A or 20A,MATH 10B or 20B,MATH 10C if choosing the 10 series,MATH 18,UD ELECTIVE,,,,,,,,,,,,,,,,,,,
Cogn Sci w/Spec Lang & Culture,CG34,COGS 1,COGS 10 or DSGN 1,COGS 100,COGS 101A or 101B or 101C,COGS 101A or 101B or 101C,COGS 107A,COGS 107B,COGS 108,COGS 13,COGS 14A,COGS 14B,COGS 17,COGS 18 or CSE (6R or 8A or 11) or BILD 62,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,MATH 10A or 20A,MATH 10B or 20B,MATH 10C if choosing the 10 series,MATH 18,UD ELECTIVE,,,,,,,,,,,,,,,,,,,
Cogn Sci/Spec MachLrn & NuerCp,CG35,COGS 1,COGS 10 or DSGN 1,COGS 100,COGS 101A or 101B or 101C,COGS 101A or 101B or 101C,COGS 107A,COGS 107B,COGS 108,COGS 13,COGS 14A,COGS 14B,COGS 17,COGS 18 or CSE (6R or 8A or 11) or BILD 62,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,COGS UD Elective,MATH 18,MATH 180A,MATH 20A,MATH 20B,MATH 20C,MATH 20E,UD ELECTIVE,,,,,,,,,,,,,,,,,,
Communication,CM26,COMM 10,COMM 100A,COMM 100B,COMM 100C,COMM 190,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,COMM Intermediate/Advanced Elective,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Engineering,CS25,CSE 8B or CSE 11,CSE 12,CSE 29 or ECE 15,CSE 30 or ECE 30,MATH 20A,MATH 20B,MATH 20C or MATH 31BH,MATH 20D,MATH 18 or MATH 31AH,PHYS 2A,PHYS 2B,PHYS 2C,ECE 35,ECE 45,!Open Electives(2): any cse/ece LD or UD,ECE 109 or MATH 11,CSE 140,CSE 141,ECE 101,ECE 108,ECE 111,"!Upper Division Design Project: CSE 118, CSE 145, CSE 147, CSE 148, CSE 170, CSE 176A, CSE
176E, ECE 115, ECE 140B, ECE 144, ECE 191, ECE 196",!Upper Division Electives(10): any UD CSE or ECE class,,,,,,,,,,,,,,,,,,,,
Computer Science,CS26,,"!Abstraction Elective(3): CSE 105, CSE 106, CSE 107, CSE 130, CSE 132A, CSE 140, CSE 150A, DSC 120, MATH 170A, MATH 170B,
MATH 170C, MATH 171A, MATH 171B, MATH 181D, MATH 187A","!Applications Elective(3): CSE 112, CSE 118, CSE 125, CSE 127, CSE 131, CSE 132B, CSE 134B, CSE 135, CSE 136, CSE 140, CSE
140L, CSE 142, CSE 142L, CSE 145, CSE 148, CSE 150B, CSE 151A, CSE 151B, CSE 152A, CSE 152B, CSE
156, CSE 158 or CSE 158R, CSE 163, CSE 165, CSE 166, CSE 167 or CSE 167R, CSE 168 or CSE 168R, CSE
169, CSE 170, CSE 175, CSE 176A, CSE 176E, CSE 181, CSE 182, CSE 184, CSE 185, CSE 193, CSE 194,
COGS 108, COGS 109, COGS 118A, COGS 118B, COGS 118C, COGS 120, COGS 121, COGS 122, COGS 123,
COGS 124, COGS 125, COGS 126, COGS 127, COGS 181, COGS 185, COGS 186, COGS 187A, COGS 187B,
COGS 188, COGS 189, DSGN 100, ECON 172A, ECON 172B, ECE 140A, ECE 140B, ECE 148, ENG
100D/ENG 100L, EDS 124AR, EDS 124BR, LIGN 165, LIGN 167, MATH 114, MATH 155A, MATH 189,
MUS 171, MUS 172, MUS 177, VIS 141A, VIS 141B",CSE 100 or CSE 100R,CSE 101,CSE 110,CSE 12,CSE 29,CSE 20 or MATH 15A or MATH 31CH or MATH 109,CSE 21 or MATH 154 or MATH 184,CSE 30,CSE 8B or CSE 11,"!General Science: PHYS 2A or PHYS 4A, PHYS 2B or PHYS 4B, CHEM 6A or CHEM 6AH, CHEM 6B or CHEM 6BH, BILD 1,
BILD 2, BILD 3, BICD 100, BIMM 101, BIMM 121, COGS 107A, COGS 107B, COGS 115, ESYS 101, HDS 110,
SIO 126, or SIO 128","!Lower Division Elective: CSE 3, CSE 4GS, CSE 6R, CSE 6GS, CSE 8A, CSE 42, CSE 86, CSE 90, CSE 91, CSE 95, CSE 99, CSE 180,
CSE 180R, MAE 8, MAE 9, COGS 9, COGS 10, COGS 18, ECE 15, ENG 10, ENG 15, NANO 15, CENG 15",MATH 18 or MATH 31AH,MATH 20A,MATH 20B,MATH 20C or MATH 31BH,!Open CSE elective(6): https://cse.ucsd.edu/undergraduate/2024-2025-cse-electives-and-technical-electives,!Statistics: MATH 181A or MATH 183 or ECON 120A or ECE 109 or CSE 103,"!Systems Elective(3): CSE 120, CSE 121, CSE 122, CSE 123, CSE 124, CSE 127, CSE 132C, CSE 140, CSE 140L, CSE 141, CSE
141L, CSE 142, CSE 142L, CSE 143, CSE 145, CSE 147, CSE 148, CSE 160, DSC 102, ECE 111, ECE 140A,
ECE 140B",,,,,,,,,,,,,,,,,,,,,,
Comp Sci w/Spec Bioinformatics,CS27,BENG 183,BIBC 102,BICD 100,BILD 1,BILD 3,BILD 4,BIMM 100,BIMM 101,CHEM 40A or CHEM 41A,CHEM 40B or CHEM 41B,CHEM 6A,CHEM 6B,CSE 100,CSE 101,CSE 12,CSE 15L,CSE 181,CSE 182,CSE 185,CSE 21,CSE 30,CSE 8A*,CSE 8B*,CSE ELECTIVE,CSE ELECTIVE,CSE ELECTIVE,CSE ELECTIVE,CSE ELECTIVE,CSE ELECTIVE,MATH 18,MATH 186,MATH 20A,MATH 20B,MATH 20C,PHYS 2A,,,,,,,,
